source_file,run_name,model,model_label,seed,concept_index,concept_name,concept_accuracy,concept_f1
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,0,is_footwear,0.9989,0.998167582875229
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,1,is_closed_footwear,0.9893,0.973612823674476
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,2,is_footwear_or_bag,0.9935,0.9918515732731603
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,3,has_sleeves,0.987,0.9870980547836443
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,4,has_collar,0.9102,0.781827016520894
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,5,is_long_garment,0.9287,0.8179729384733214
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,6,is_outerwear_layer,0.9448,0.86608442503639
cbm_independent_seed42_epochs1_bs256_lr0_001.json,cbm_independent_seed42_epochs1_bs256_lr0_001,cbm_independent,Independent CBM,42,7,is_legwear_or_footwear,0.9923,0.9903083700440528
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,0,is_footwear,0.9985,0.9974987493746873
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,1,is_closed_footwear,0.9335,0.8570199956998495
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,2,is_footwear_or_bag,0.9914,0.9892203559789421
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,3,has_sleeves,0.985,0.9851013110846245
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,4,has_collar,0.8701,0.7165612044512328
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,5,is_long_garment,0.8937,0.7732992109191725
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,6,is_outerwear_layer,0.9217,0.8229708342753786
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0,cbm_joint,Joint CBM,42,7,is_legwear_or_footwear,0.9918,0.9896881287726358
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,0,is_footwear,0.9993,0.998834304746045
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,1,is_closed_footwear,0.9946,0.9865604778496765
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,2,is_footwear_or_bag,0.9973,0.9966195066983848
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,3,has_sleeves,0.9948,0.9948134849391582
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,4,has_collar,0.9436,0.8580775037745345
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,5,is_long_garment,0.9625,0.9067396170106938
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,6,is_outerwear_layer,0.9659,0.9170921468514467
concept_seed42_epochs10_bs64_lr0_001.json,concept_seed42_epochs10_bs64_lr0_001,concept,Concept predictor,42,7,is_legwear_or_footwear,0.9967,0.9958693203154337
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,0,is_footwear,0.9975,0.9958423415932147
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,1,is_closed_footwear,0.986,0.9653636813458684
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,2,is_footwear_or_bag,0.9899,0.987376577927759
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,3,has_sleeves,0.9849,0.9849766192418665
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,4,has_collar,0.8992,0.7513566847557968
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,5,is_long_garment,0.9121,0.7859751643535428
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,6,is_outerwear_layer,0.9345,0.8353029922051798
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3,hybrid,Hybrid CBM,42,7,is_legwear_or_footwear,0.9904,0.9879789631855748
